name,category,description,skills_measured,job_suitability,experience_level,duration,delivery_method,assessment_url,full_text
Technical Sales Associate Solution,Job-Specific Skills,"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options",Sales,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,"Assessment: Technical Sales Associate Solution | Category: Job-Specific Skills | Query: I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options | Skills: Sales | Suitable for: Various professional roles"
Svar Spoken English Indian Accent New,Job-Specific Skills,"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options",Sales,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,"Assessment: Svar Spoken English Indian Accent New | Category: Job-Specific Skills | Query: I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options | Skills: Sales | Suitable for: Various professional roles"
Interpersonal Communications,Job-Specific Skills,"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options",Sales,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,"Assessment: Interpersonal Communications | Category: Job-Specific Skills | Query: I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options | Skills: Sales | Suitable for: Various professional roles"
English Comprehension New,Job-Specific Skills,"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options",Sales,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,"Assessment: English Comprehension New | Category: Job-Specific Skills | Query: I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options | Skills: Sales | Suitable for: Various professional roles"
Enterprise Leadership Report,General Assessment,I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour,Various professional skills,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,Assessment: Enterprise Leadership Report | Category: General Assessment | Query: I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour | Skills: Various professional skills | Suitable for: Various professional roles
Occupational Personality Questionnaire Opq32r,General Assessment,I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour,Various professional skills,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,Assessment: Occupational Personality Questionnaire Opq32r | Category: General Assessment | Query: I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour | Skills: Various professional skills | Suitable for: Various professional roles
Opq Leadership Report,General Assessment,I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour,Various professional skills,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,Assessment: Opq Leadership Report | Category: General Assessment | Query: I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour | Skills: Various professional skills | Suitable for: Various professional roles
Opq Team Types And Leadership Styles Report,General Assessment,I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour,Various professional skills,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report,Assessment: Opq Team Types And Leadership Styles Report | Category: General Assessment | Query: I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour | Skills: Various professional skills | Suitable for: Various professional roles
Enterprise Leadership Report 2 0,General Assessment,I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour,Various professional skills,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,Assessment: Enterprise Leadership Report 2 0 | Category: General Assessment | Query: I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour | Skills: Various professional skills | Suitable for: Various professional roles
Global Skills Assessment,General Assessment,I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour,Various professional skills,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,Assessment: Global Skills Assessment | Category: General Assessment | Query: I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour | Skills: Various professional skills | Suitable for: Various professional roles
Verify Verbal Ability Next Generation,Leadership Assessment,"KEY RESPONSIBITILES:

Manage the sound-scape of the station through appropriate creative and marketing interventions to Increase or Maintain the listenership
Acts as an interface between Programming & sales team, thereby supporting the sales team by providing creative inputs in order to increase the overall ad spends by clients
Build brand Mirchi by ideating fresh programming initiatives on air campaigns, programming led on-ground events & new properties to ensure brand differentiation & thus increase brand recall at station level
Invest time in local RJs to grow & develop them as local celebrities
Through strong networking, must focus on identifying the best of local talent and ensure to bring the creative minds from the market on board with Mirchi
Build radio as a category for both listeners & advertisers
People Management
Identifying the right talent and investing time in developing them by frequent feedback on their performance
Monitor, Coach and mentor team members on a regular basis
Development of Jocks as per guidelines
Must have an eye to spot the local talent to fill up vacancies locally




TECHNICAL SKILLS & QUALIFICATION REQUIRED:

Graduation / Post Graduation (Any specialisation) with 8 -12 years of relevant experience
Experience in digital content conceptualisation
Strong branding focus
Must be well-read in variety of areas and must keep up with the latest events in the city / cluster / country
Must know to read, write & speak English 


PERSONAL ATTRIBUTES:

Excellent communication skills
Good interpersonal skills
People management


Suggest me some tests for the above jd. The duration should be at most 90 mins","Programming, Communication, Sales, Management",Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,"Assessment: Verify Verbal Ability Next Generation | Category: Leadership Assessment | Query: KEY RESPONSIBITILES:

Manage the sound-scape of the station through appropriate creative and marketing interventions to Increase or Maintain the listenership
Acts as an interface between Programming & sales team, thereby supporting the sales team by providing creative inputs in order to increase the overall ad spends by clients
Build brand Mirchi by ideating fresh programming initiatives on air campaigns, programming led on-ground events & new properties to ensure brand differentiation & thus increase brand recall at station level
Invest time in local RJs to grow & develop them as local celebrities
Through strong networking, must focus on identifying the best of local talent and ensure to bring the creative minds from the market on board with Mirchi
Build radio as a category for both listeners & advertisers
People Management
Identifying the right talent and investing time in developing them by frequent feedback on their performance
Monitor, Coach and mentor team members on a regular basis
Development of Jocks as per guidelines
Must have an eye to spot the local talent to fill up vacancies locally




TECHNICAL SKILLS & QUALIFICATION REQUIRED:

Graduation / Post Graduation (Any specialisation) with 8 -12 years of relevant experience
Experience in digital content conceptualisation
Strong branding focus
Must be well-read in variety of areas and must keep up with the latest events in the city / cluster / country
Must know to read, write & speak English 


PERSONAL ATTRIBUTES:

Excellent communication skills
Good interpersonal skills
People management


Suggest me some tests for the above jd. The duration should be at most 90 mins | Skills: Programming, Communication, Sales, Management | Suitable for: Various professional roles"
Shl Verify Interactive Inductive Reasoning,Leadership Assessment,"KEY RESPONSIBITILES:

Manage the sound-scape of the station through appropriate creative and marketing interventions to Increase or Maintain the listenership
Acts as an interface between Programming & sales team, thereby supporting the sales team by providing creative inputs in order to increase the overall ad spends by clients
Build brand Mirchi by ideating fresh programming initiatives on air campaigns, programming led on-ground events & new properties to ensure brand differentiation & thus increase brand recall at station level
Invest time in local RJs to grow & develop them as local celebrities
Through strong networking, must focus on identifying the best of local talent and ensure to bring the creative minds from the market on board with Mirchi
Build radio as a category for both listeners & advertisers
People Management
Identifying the right talent and investing time in developing them by frequent feedback on their performance
Monitor, Coach and mentor team members on a regular basis
Development of Jocks as per guidelines
Must have an eye to spot the local talent to fill up vacancies locally




TECHNICAL SKILLS & QUALIFICATION REQUIRED:

Graduation / Post Graduation (Any specialisation) with 8 -12 years of relevant experience
Experience in digital content conceptualisation
Strong branding focus
Must be well-read in variety of areas and must keep up with the latest events in the city / cluster / country
Must know to read, write & speak English 


PERSONAL ATTRIBUTES:

Excellent communication skills
Good interpersonal skills
People management


Suggest me some tests for the above jd. The duration should be at most 90 mins","Programming, Communication, Sales, Management",Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,"Assessment: Shl Verify Interactive Inductive Reasoning | Category: Leadership Assessment | Query: KEY RESPONSIBITILES:

Manage the sound-scape of the station through appropriate creative and marketing interventions to Increase or Maintain the listenership
Acts as an interface between Programming & sales team, thereby supporting the sales team by providing creative inputs in order to increase the overall ad spends by clients
Build brand Mirchi by ideating fresh programming initiatives on air campaigns, programming led on-ground events & new properties to ensure brand differentiation & thus increase brand recall at station level
Invest time in local RJs to grow & develop them as local celebrities
Through strong networking, must focus on identifying the best of local talent and ensure to bring the creative minds from the market on board with Mirchi
Build radio as a category for both listeners & advertisers
People Management
Identifying the right talent and investing time in developing them by frequent feedback on their performance
Monitor, Coach and mentor team members on a regular basis
Development of Jocks as per guidelines
Must have an eye to spot the local talent to fill up vacancies locally




TECHNICAL SKILLS & QUALIFICATION REQUIRED:

Graduation / Post Graduation (Any specialisation) with 8 -12 years of relevant experience
Experience in digital content conceptualisation
Strong branding focus
Must be well-read in variety of areas and must keep up with the latest events in the city / cluster / country
Must know to read, write & speak English 


PERSONAL ATTRIBUTES:

Excellent communication skills
Good interpersonal skills
People management


Suggest me some tests for the above jd. The duration should be at most 90 mins | Skills: Programming, Communication, Sales, Management | Suitable for: Various professional roles"
Marketing New,Leadership Assessment,"KEY RESPONSIBITILES:

Manage the sound-scape of the station through appropriate creative and marketing interventions to Increase or Maintain the listenership
Acts as an interface between Programming & sales team, thereby supporting the sales team by providing creative inputs in order to increase the overall ad spends by clients
Build brand Mirchi by ideating fresh programming initiatives on air campaigns, programming led on-ground events & new properties to ensure brand differentiation & thus increase brand recall at station level
Invest time in local RJs to grow & develop them as local celebrities
Through strong networking, must focus on identifying the best of local talent and ensure to bring the creative minds from the market on board with Mirchi
Build radio as a category for both listeners & advertisers
People Management
Identifying the right talent and investing time in developing them by frequent feedback on their performance
Monitor, Coach and mentor team members on a regular basis
Development of Jocks as per guidelines
Must have an eye to spot the local talent to fill up vacancies locally




TECHNICAL SKILLS & QUALIFICATION REQUIRED:

Graduation / Post Graduation (Any specialisation) with 8 -12 years of relevant experience
Experience in digital content conceptualisation
Strong branding focus
Must be well-read in variety of areas and must keep up with the latest events in the city / cluster / country
Must know to read, write & speak English 


PERSONAL ATTRIBUTES:

Excellent communication skills
Good interpersonal skills
People management


Suggest me some tests for the above jd. The duration should be at most 90 mins","Programming, Communication, Sales, Management",Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,"Assessment: Marketing New | Category: Leadership Assessment | Query: KEY RESPONSIBITILES:

Manage the sound-scape of the station through appropriate creative and marketing interventions to Increase or Maintain the listenership
Acts as an interface between Programming & sales team, thereby supporting the sales team by providing creative inputs in order to increase the overall ad spends by clients
Build brand Mirchi by ideating fresh programming initiatives on air campaigns, programming led on-ground events & new properties to ensure brand differentiation & thus increase brand recall at station level
Invest time in local RJs to grow & develop them as local celebrities
Through strong networking, must focus on identifying the best of local talent and ensure to bring the creative minds from the market on board with Mirchi
Build radio as a category for both listeners & advertisers
People Management
Identifying the right talent and investing time in developing them by frequent feedback on their performance
Monitor, Coach and mentor team members on a regular basis
Development of Jocks as per guidelines
Must have an eye to spot the local talent to fill up vacancies locally




TECHNICAL SKILLS & QUALIFICATION REQUIRED:

Graduation / Post Graduation (Any specialisation) with 8 -12 years of relevant experience
Experience in digital content conceptualisation
Strong branding focus
Must be well-read in variety of areas and must keep up with the latest events in the city / cluster / country
Must know to read, write & speak English 


PERSONAL ATTRIBUTES:

Excellent communication skills
Good interpersonal skills
People management


Suggest me some tests for the above jd. The duration should be at most 90 mins | Skills: Programming, Communication, Sales, Management | Suitable for: Various professional roles"
English Comprehension New,Leadership Assessment,"KEY RESPONSIBITILES:

Manage the sound-scape of the station through appropriate creative and marketing interventions to Increase or Maintain the listenership
Acts as an interface between Programming & sales team, thereby supporting the sales team by providing creative inputs in order to increase the overall ad spends by clients
Build brand Mirchi by ideating fresh programming initiatives on air campaigns, programming led on-ground events & new properties to ensure brand differentiation & thus increase brand recall at station level
Invest time in local RJs to grow & develop them as local celebrities
Through strong networking, must focus on identifying the best of local talent and ensure to bring the creative minds from the market on board with Mirchi
Build radio as a category for both listeners & advertisers
People Management
Identifying the right talent and investing time in developing them by frequent feedback on their performance
Monitor, Coach and mentor team members on a regular basis
Development of Jocks as per guidelines
Must have an eye to spot the local talent to fill up vacancies locally




TECHNICAL SKILLS & QUALIFICATION REQUIRED:

Graduation / Post Graduation (Any specialisation) with 8 -12 years of relevant experience
Experience in digital content conceptualisation
Strong branding focus
Must be well-read in variety of areas and must keep up with the latest events in the city / cluster / country
Must know to read, write & speak English 


PERSONAL ATTRIBUTES:

Excellent communication skills
Good interpersonal skills
People management


Suggest me some tests for the above jd. The duration should be at most 90 mins","Programming, Communication, Sales, Management",Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,"Assessment: English Comprehension New | Category: Leadership Assessment | Query: KEY RESPONSIBITILES:

Manage the sound-scape of the station through appropriate creative and marketing interventions to Increase or Maintain the listenership
Acts as an interface between Programming & sales team, thereby supporting the sales team by providing creative inputs in order to increase the overall ad spends by clients
Build brand Mirchi by ideating fresh programming initiatives on air campaigns, programming led on-ground events & new properties to ensure brand differentiation & thus increase brand recall at station level
Invest time in local RJs to grow & develop them as local celebrities
Through strong networking, must focus on identifying the best of local talent and ensure to bring the creative minds from the market on board with Mirchi
Build radio as a category for both listeners & advertisers
People Management
Identifying the right talent and investing time in developing them by frequent feedback on their performance
Monitor, Coach and mentor team members on a regular basis
Development of Jocks as per guidelines
Must have an eye to spot the local talent to fill up vacancies locally




TECHNICAL SKILLS & QUALIFICATION REQUIRED:

Graduation / Post Graduation (Any specialisation) with 8 -12 years of relevant experience
Experience in digital content conceptualisation
Strong branding focus
Must be well-read in variety of areas and must keep up with the latest events in the city / cluster / country
Must know to read, write & speak English 


PERSONAL ATTRIBUTES:

Excellent communication skills
Good interpersonal skills
People management


Suggest me some tests for the above jd. The duration should be at most 90 mins | Skills: Programming, Communication, Sales, Management | Suitable for: Various professional roles"
Interpersonal Communications,Leadership Assessment,"KEY RESPONSIBITILES:

Manage the sound-scape of the station through appropriate creative and marketing interventions to Increase or Maintain the listenership
Acts as an interface between Programming & sales team, thereby supporting the sales team by providing creative inputs in order to increase the overall ad spends by clients
Build brand Mirchi by ideating fresh programming initiatives on air campaigns, programming led on-ground events & new properties to ensure brand differentiation & thus increase brand recall at station level
Invest time in local RJs to grow & develop them as local celebrities
Through strong networking, must focus on identifying the best of local talent and ensure to bring the creative minds from the market on board with Mirchi
Build radio as a category for both listeners & advertisers
People Management
Identifying the right talent and investing time in developing them by frequent feedback on their performance
Monitor, Coach and mentor team members on a regular basis
Development of Jocks as per guidelines
Must have an eye to spot the local talent to fill up vacancies locally




TECHNICAL SKILLS & QUALIFICATION REQUIRED:

Graduation / Post Graduation (Any specialisation) with 8 -12 years of relevant experience
Experience in digital content conceptualisation
Strong branding focus
Must be well-read in variety of areas and must keep up with the latest events in the city / cluster / country
Must know to read, write & speak English 


PERSONAL ATTRIBUTES:

Excellent communication skills
Good interpersonal skills
People management


Suggest me some tests for the above jd. The duration should be at most 90 mins","Programming, Communication, Sales, Management",Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,"Assessment: Interpersonal Communications | Category: Leadership Assessment | Query: KEY RESPONSIBITILES:

Manage the sound-scape of the station through appropriate creative and marketing interventions to Increase or Maintain the listenership
Acts as an interface between Programming & sales team, thereby supporting the sales team by providing creative inputs in order to increase the overall ad spends by clients
Build brand Mirchi by ideating fresh programming initiatives on air campaigns, programming led on-ground events & new properties to ensure brand differentiation & thus increase brand recall at station level
Invest time in local RJs to grow & develop them as local celebrities
Through strong networking, must focus on identifying the best of local talent and ensure to bring the creative minds from the market on board with Mirchi
Build radio as a category for both listeners & advertisers
People Management
Identifying the right talent and investing time in developing them by frequent feedback on their performance
Monitor, Coach and mentor team members on a regular basis
Development of Jocks as per guidelines
Must have an eye to spot the local talent to fill up vacancies locally




TECHNICAL SKILLS & QUALIFICATION REQUIRED:

Graduation / Post Graduation (Any specialisation) with 8 -12 years of relevant experience
Experience in digital content conceptualisation
Strong branding focus
Must be well-read in variety of areas and must keep up with the latest events in the city / cluster / country
Must know to read, write & speak English 


PERSONAL ATTRIBUTES:

Excellent communication skills
Good interpersonal skills
People management


Suggest me some tests for the above jd. The duration should be at most 90 mins | Skills: Programming, Communication, Sales, Management | Suitable for: Various professional roles"
English Comprehension New,General Assessment,"Content Writer required, expert in English and SEO.",Various professional skills,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/products/product-catalog/view/english-comprehension-new/,"Assessment: English Comprehension New | Category: General Assessment | Query: Content Writer required, expert in English and SEO. | Skills: Various professional skills | Suitable for: Various professional roles"
Drupal New,General Assessment,"Content Writer required, expert in English and SEO.",Various professional skills,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,"Assessment: Drupal New | Category: General Assessment | Query: Content Writer required, expert in English and SEO. | Skills: Various professional skills | Suitable for: Various professional roles"
Written English V1,General Assessment,"Content Writer required, expert in English and SEO.",Various professional skills,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,"Assessment: Written English V1 | Category: General Assessment | Query: Content Writer required, expert in English and SEO. | Skills: Various professional skills | Suitable for: Various professional roles"
Occupational Personality Questionnaire Opq32r,General Assessment,"Content Writer required, expert in English and SEO.",Various professional skills,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,"Assessment: Occupational Personality Questionnaire Opq32r | Category: General Assessment | Query: Content Writer required, expert in English and SEO. | Skills: Various professional skills | Suitable for: Various professional roles"
Search Engine Optimization New,General Assessment,"Content Writer required, expert in English and SEO.",Various professional skills,Various professional roles,"Entry, Mid, Senior",Variable,Online,https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,"Assessment: Search Engine Optimization New | Category: General Assessment | Query: Content Writer required, expert in English and SEO. | Skills: Various professional skills | Suitable for: Various professional roles"
